Image,Pattern,Method,PSNR_R,PSNR_G,PSNR_B,PSNR_Overall,SSIM_R,SSIM_G,SSIM_B,SSIM_Overall,Color_MSE_LAB,CNR_Cb_Var,CNR_Cr_Var,Edge_IoU,Zipper_StdLap
Camera_Test_3k.png,RGGB,Malvar,28.030862,32.149277,28.010685,29.014362,0.950722,0.976403,0.953523,0.960216,51.104927,68.622200,77.194416,0.823558,56.009800
Camera_Test_3k.png,RGGB,DLMMSE1,34.940388,37.644470,34.552459,35.512105,0.980407,0.988974,0.982333,0.983905,11.403885,68.342485,76.676818,0.887271,65.557442
Camera_Test_3k.png,RGGB,Menon,34.490487,36.405680,34.264095,34.953034,0.980903,0.989174,0.982735,0.984271,14.269518,68.476443,77.021050,0.874102,65.132384
Camera_Test_3k.png,RGGB,DLMMSE,32.696749,32.939010,32.510456,32.711869,0.977098,0.983461,0.979211,0.979923,21.037000,68.503362,77.038853,0.823614,58.652012
Camera_Test_3k.png,RGGB,GBTF,34.879285,37.546214,34.546633,35.466254,0.979572,0.988531,0.981505,0.983203,11.510275,68.352946,76.691507,0.886223,65.313365
